queryid,userid,topic,query_terms
788,41,347,wildlife protection
811,30,347,wildlife protection
812,30,347,government extinction prevention
813,30,347,government wildlife
814,30,347,government extinction
820,8,341,french airport security changes
821,8,341,french airport baggage checks
822,8,341,internation airport security
823,6,408,hurricane destruction
833,16,435,curbing population growth
834,16,435,countries who have curbed population growth rate
835,16,435,populatio growth chinese
836,16,435,population growth chinese
837,1,347,canada endangered animal conservation
838,1,347,endangered animal conservation worldwide
839,1,347,shanghai wildlife protection
840,1,347,global wildlife protection
841,1,347,china wildlife protection
936,4,435,population control china
937,4,435,population control india
938,4,435,population control brazil
939,4,435,population control africa
940,4,435,population control south america
941,4,435,population control asia
942,4,435,population control japan
944,10,347,international efforts to prevent extinction
945,10,347,international extinction prevention
946,10,347,international wildlife preservation
959,47,408,hurricane big damages
960,47,408,typhoon big damages
991,0,341,airport baggage screening
992,23,408,hurricane irma damage
993,23,408,hurricane harvey damage
994,23,408,worst hurricanes
1006,17,408,hurriance damage
1007,17,408,hurricane damage
1056,29,408,tropical storm property damage
1063,7,347,prevent extinction
1077,13,347,protect elephants
1078,13,347,elephant endangered
1079,13,347,rhino protection
1080,13,347,protect endangered species
